Title,Description
Neural Networks with Feature Extraction (pcaNNet),Neural Networks with Feature Extraction (pcaNNet)is a machine learning model.It is used for Classification. It is used for Regression. It Accepts Case Weights. It has Feature Extraction. It has L2 Regularization. It has Neural Network. 
Principal Component Analysis (pcr),Principal Component Analysis (pcr)is a machine learning model.It is used for Regression. It has Feature Extraction. It has Linear Regression. 
Penalized Discriminant Analysis (pda),Penalized Discriminant Analysis (pda)is a machine learning model.It is used for Classification. It Accepts Case Weights. It has Discriminant Analysis. It is a Polynomial Model. 
Penalized Discriminant Analysis (pda2),Penalized Discriminant Analysis (pda2)is a machine learning model.It is used for Classification. It Accepts Case Weights. It has Discriminant Analysis. It is a Polynomial Model. 
Penalized Linear Regression (penalized),Penalized Linear Regression (penalized)is a machine learning model.It is used for Regression. It has Implicit Feature Selection. It has L1 Regularization. It has L2 Regularization. It has Linear Regression. 
Penalized Linear Discriminant Analysis (PenalizedLDA),Penalized Linear Discriminant Analysis (PenalizedLDA)is a machine learning model.It is used for Classification. It has Discriminant Analysis. It has Implicit Feature Selection. It has L1 Regularization. It has Linear Classifier. 
Penalized Logistic Regression (plr),Penalized Logistic Regression (plr)is a machine learning model.It is used for Classification. It has L2 Regularization. It has Linear Classifier. It has Logistic Regression. 
Partial Least Squares (pls),Partial Least Squares (pls)is a machine learning model.It is used for Classification. It is used for Regression. It has Feature Extraction. It has Linear Classifier. It has Linear Regression. It has Partial Least Squares. 
Partial Least Squares Generalized Linear Models  (plsRglm),Partial Least Squares Generalized Linear Models  (plsRglm)is a machine learning model.It is used for Classification. It is used for Regression. It is a Generalized Linear Models. It has Partial Least Squares. It has Two Class Only. 
Ordered Logistic or Probit Regression (polr),Ordered Logistic or Probit Regression (polr)is a machine learning model.It is used for Classification. It Accepts Case Weights. It has Linear Classifier. It has Logistic Regression. It has Ordinal Outcomes. 
Projection Pursuit Regression (ppr),Projection Pursuit Regression (ppr)is a machine learning model.It is used for Regression. It Accepts Case Weights. It has Feature Extraction. 
Patient Rule Induction Method (PRIM),Patient Rule Induction Method (PRIM)is a machine learning model.It is used for Classification. It has Patient Rule Induction Method. It is a Rule-Based Model. 
Greedy Prototype Selection (protoclass),Greedy Prototype Selection (protoclass)is a machine learning model.It is used for Classification. It is a Prototype Models. 
Quadratic Discriminant Analysis (qda),Quadratic Discriminant Analysis (qda)is a machine learning model.It is used for Classification. It has Discriminant Analysis. It is a Polynomial Model. 
Robust Quadratic Discriminant Analysis (QdaCov),Robust Quadratic Discriminant Analysis (QdaCov)is a machine learning model.It is used for Classification. It has Discriminant Analysis. It is a Polynomial Model. 
Quantile Random Forest (qrf),Quantile Random Forest (qrf)is a machine learning model.It is used for Regression. It has Bagging. It is a Ensemble Model. It has Implicit Feature Selection. It has Quantile Regression. It has Random Forest. It is a Robust Model. 
Quantile Regression Neural Network (qrnn),Quantile Regression Neural Network (qrnn)is a machine learning model.It is used for Regression. It has Bagging. It is a Ensemble Model. It has L2 Regularization. It has Neural Network. It has Quantile Regression. It is a Robust Model. 
Ensembles of Generalized Linear Models (randomGLM),Ensembles of Generalized Linear Models (randomGLM)is a machine learning model.It is used for Classification. It is used for Regression. It has Bagging. It is a Ensemble Model. It is a Generalized Linear Model. It has Linear Classifier. 
Random Forest (ranger),Random Forest (ranger)is a machine learning model.It is used for Classification. It is used for Regression. It Accepts Case Weights. It has Bagging. It is a Ensemble Model. It has Implicit Feature Selection. It has Random Forest. 
Radial Basis Function Network (rbf),Radial Basis Function Network (rbf)is a machine learning model.It is used for Classification. It is used for Regression. It has L2 Regularization. It has Neural Network. It has Radial Basis Function. 
Radial Basis Function Network (rbfDDA),Radial Basis Function Network (rbfDDA)is a machine learning model.It is used for Classification. It is used for Regression. It has L2 Regularization. It has Neural Network. It has Radial Basis Function. 
Random Forest (Rborist),Random Forest (Rborist)is a machine learning model.It is used for Classification. It is used for Regression. It has Bagging. It is a Ensemble Model. It has Implicit Feature Selection. It has Random Forest. 
Regularized Discriminant Analysis (rda),Regularized Discriminant Analysis (rda)is a machine learning model.It is used for Classification. It has Discriminant Analysis. It has Linear Classifier. It is a Polynomial Model. It has Regularization. 
Regularized Logistic Regression (regLogistic),Regularized Logistic Regression (regLogistic)is a machine learning model.It is used for Classification. It has L1 Regularization. It has L2 Regularization. It has Linear Classifier. It has Robust Methods. 
Relaxed Lasso (relaxo),Relaxed Lasso (relaxo)is a machine learning model.It is used for Regression. It has Implicit Feature Selection. It has L1 Regularization. It has L2 Regularization. It has Linear Regression. 
Random Forest (rf),Random Forest (rf)is a machine learning model.It is used for Classification. It is used for Regression. It has Bagging. It is a Ensemble Model. It has Implicit Feature Selection. It has Random Forest. 
Random Ferns (rFerns),Random Ferns (rFerns)is a machine learning model.It is used for Classification. It has Bagging. It is a Ensemble Model. It has Implicit Feature Selection. It has Random Forest. 
Factor-Based Linear Discriminant Analysis (RFlda),Factor-Based Linear Discriminant Analysis (RFlda)is a machine learning model.It is used for Classification. It has Discriminant Analysis. It has Linear Classifier. 
Random Forest Rule-Based Model (rfRules),Random Forest Rule-Based Model (rfRules)is a machine learning model.It is used for Classification. It is used for Regression. It has Bagging. It is a Ensemble Model. It has Implicit Feature Selection. It has Random Forest. It is a Rule-Based Model. 
Ridge Regression (ridge),Ridge Regression (ridge)is a machine learning model.It is used for Regression. It has L2 Regularization. It has Linear Regression. 
Regularized Linear Discriminant Analysis (rlda),Regularized Linear Discriminant Analysis (rlda)is a machine learning model.It is used for Classification. It has Discriminant Analysis. It has Linear Classifier. It is a Polynomial Model. It has Regularization. 
Robust Linear Model (rlm),Robust Linear Model (rlm)is a machine learning model.It is used for Regression. It Accepts Case Weights. It has Linear Regression. It is a Robust Model. 
Robust Mixture Discriminant Analysis (rmda),Robust Mixture Discriminant Analysis (rmda)is a machine learning model.It is used for Classification. It has Discriminant Analysis. It is a Mixture Model. It has Robust Methods. 
ROC-Based Classifier (rocc),ROC-Based Classifier (rocc)is a machine learning model.It is used for Classification. It has ROC Curves. 
Rotation Forest (rotationForest),Rotation Forest (rotationForest)is a machine learning model.It is used for Classification. It is a Ensemble Model. It is a Feature Extraction Models. It has Implicit Feature Selection. It is a Tree-Based Model. It has Two Class Only. 
Rotation Forest (rotationForestCp),Rotation Forest (rotationForestCp)is a machine learning model.It is used for Classification. It is a Ensemble Model. It is a Feature Extraction Models. It has Implicit Feature Selection. It is a Tree-Based Model. It has Two Class Only. 
CART (rpart),CART (rpart)is a machine learning model.It is used for Classification. It is used for Regression. It Accepts Case Weights. It has Handle Missing Predictor Data. It has Implicit Feature Selection. It is a Tree-Based Model. 
CART (rpart1SE),CART (rpart1SE)is a machine learning model.It is used for Classification. It is used for Regression. It Accepts Case Weights. It has Handle Missing Predictor Data. It has Implicit Feature Selection. It is a Tree-Based Model. 
CART (rpart2),CART (rpart2)is a machine learning model.It is used for Classification. It is used for Regression. It Accepts Case Weights. It has Handle Missing Predictor Data. It has Implicit Feature Selection. It is a Tree-Based Model. 
Cost-Sensitive CART (rpartCost),Cost-Sensitive CART (rpartCost)is a machine learning model.It is used for Classification. It Accepts Case Weights. It has Cost Sensitive Learning. It has Handle Missing Predictor Data. It has Implicit Feature Selection. It is a Tree-Based Model. It has Two Class Only. 
CART or Ordinal Responses (rpartScore),CART or Ordinal Responses (rpartScore)is a machine learning model.It is used for Classification. It Accepts Case Weights. It has Handle Missing Predictor Data. It has Implicit Feature Selection. It has Ordinal Outcomes. It is a Tree-Based Model. 
Quantile Regression with LASSO penalty (rqlasso),Quantile Regression with LASSO penalty (rqlasso)is a machine learning model.It is used for Regression. It has Implicit Feature Selection. It has L1 Regularization. It has Linear Regression. It has Quantile Regression. 
Non-Convex Penalized Quantile Regression (rqnc),Non-Convex Penalized Quantile Regression (rqnc)is a machine learning model.It is used for Regression. It has Implicit Feature Selection. It has L1 Regularization. It has Linear Regression. It has Quantile Regression. 
Regularized Random Forest (RRF),Regularized Random Forest (RRF)is a machine learning model.It is used for Classification. It is used for Regression. It has Bagging. It is a Ensemble Model. It has Implicit Feature Selection. It has Random Forest. It has Regularization. 
Regularized Random Forest (RRFglobal),Regularized Random Forest (RRFglobal)is a machine learning model.It is used for Classification. It is used for Regression. It has Bagging. It is a Ensemble Model. It has Implicit Feature Selection. It has Random Forest. It has Regularization. 
Robust Regularized Linear Discriminant Analysis (rrlda),Robust Regularized Linear Discriminant Analysis (rrlda)is a machine learning model.It is used for Classification. It has Discriminant Analysis. It has Linear Classifier. It has Regularization. It is a Robust Model. 
Robust SIMCA (RSimca),Robust SIMCA (RSimca)is a machine learning model.It is used for Classification. It has Linear Classifier. It is a Robust Model. 
Relevance Vector Machines with Linear Kernel (rvmLinear),Relevance Vector Machines with Linear Kernel (rvmLinear)is a machine learning model.It is used for Regression. It has Kernel Method. It has Linear Regression. It has Relevance Vector Machines. It has Robust Methods. 
Relevance Vector Machines with Polynomial Kernel (rvmPoly),Relevance Vector Machines with Polynomial Kernel (rvmPoly)is a machine learning model.It is used for Regression. It has Kernel Method. It is a Polynomial Model. It has Relevance Vector Machines. It has Robust Methods. 
Relevance Vector Machines with Radial Basis Function Kernel (rvmRadial),Relevance Vector Machines with Radial Basis Function Kernel (rvmRadial)is a machine learning model.It is used for Regression. It has Kernel Method. It has Radial Basis Function. It has Relevance Vector Machines. It has Robust Methods. 
Subtractive Clustering and Fuzzy c-Means Rules (SBC),Subtractive Clustering and Fuzzy c-Means Rules (SBC)is a machine learning model.It is used for Regression. It is a Rule-Based Model. 
Shrinkage Discriminant Analysis (sda),Shrinkage Discriminant Analysis (sda)is a machine learning model.It is used for Classification. It has Discriminant Analysis. It has Linear Classifier. It has Regularization. 
Sparse Distance Weighted Discrimination (sdwd),Sparse Distance Weighted Discrimination (sdwd)is a machine learning model.It is used for Classification. It is a Discriminant Analysis Models. It has Distance Weighted Discrimination. It has Implicit Feature Selection. It has L1 Regularization. It has L2 Regularization. It has Linear Classifier. 
Partial Least Squares (simpls),Partial Least Squares (simpls)is a machine learning model.It is used for Classification. It is used for Regression. It has Feature Extraction. It has Linear Classifier. It has Linear Regression. It has Partial Least Squares. 
Fuzzy Rules Using the Structural Learning Algorithm on Vague Environment (SLAVE),Fuzzy Rules Using the Structural Learning Algorithm on Vague Environment (SLAVE)is a machine learning model.It is used for Classification. It is a Rule-Based Model. 
Stabilized Linear Discriminant Analysis (slda),Stabilized Linear Discriminant Analysis (slda)is a machine learning model.It is used for Classification. It has Discriminant Analysis. It has Linear Classifier. 
Sparse Mixture Discriminant Analysis (smda),Sparse Mixture Discriminant Analysis (smda)is a machine learning model.It is used for Classification. It has Discriminant Analysis. It has Implicit Feature Selection. It has L1 Regularization. It is a Mixture Model. 
Stabilized Nearest Neighbor Classifier (snn),Stabilized Nearest Neighbor Classifier (snn)is a machine learning model.It is used for Classification. It is a Prototype Models. 
Sparse Linear Discriminant Analysis (sparseLDA),Sparse Linear Discriminant Analysis (sparseLDA)is a machine learning model.It is used for Classification. It has Discriminant Analysis. It has Implicit Feature Selection. It has L1 Regularization. It has Linear Classifier. 
Spike and Slab Regression (spikeslab),Spike and Slab Regression (spikeslab)is a machine learning model.It is used for Regression. It is a Bayesian Model. It has Implicit Feature Selection. It has Linear Regression. 
Sparse Partial Least Squares (spls),Sparse Partial Least Squares (spls)is a machine learning model.It is used for Classification. It is used for Regression. It has Feature Extraction. It has L1 Regularization. It has Linear Classifier. It has Linear Regression. It has Partial Least Squares. 
Linear Discriminant Analysis with Stepwise Feature Selection (stepLDA),Linear Discriminant Analysis with Stepwise Feature Selection (stepLDA)is a machine learning model.It is used for Classification. It has Discriminant Analysis. It has Feature Selection Wrapper. It has Linear Classifier. 
Quadratic Discriminant Analysis with Stepwise Feature Selection (stepQDA),Quadratic Discriminant Analysis with Stepwise Feature Selection (stepQDA)is a machine learning model.It is used for Classification. It has Discriminant Analysis. It has Feature Selection Wrapper. It is a Polynomial Model. 
Supervised Principal Component Analysis (superpc),Supervised Principal Component Analysis (superpc)is a machine learning model.It is used for Regression. It has Feature Extraction. It has Linear Regression. 
Support Vector Machines with Boundrange String Kernel (svmBoundrangeString),Support Vector Machines with Boundrange String Kernel (svmBoundrangeString)is a machine learning model.It is used for Classification. It is used for Regression. It has Kernel Method. It has Robust Methods. It has String Kernel. It has Support Vector Machines. It has Text Mining. 
Support Vector Machines with Exponential String Kernel (svmExpoString),Support Vector Machines with Exponential String Kernel (svmExpoString)is a machine learning model.It is used for Classification. It is used for Regression. It has Kernel Method. It has Robust Methods. It has String Kernel. It has Support Vector Machines. It has Text Mining. 
Support Vector Machines with Linear Kernel (svmLinear),Support Vector Machines with Linear Kernel (svmLinear)is a machine learning model.It is used for Classification. It is used for Regression. It has Kernel Method. It has Linear Classifier. It has Linear Regression. It has Robust Methods. It has Support Vector Machines. 
Support Vector Machines with Linear Kernel (svmLinear2),Support Vector Machines with Linear Kernel (svmLinear2)is a machine learning model.It is used for Classification. It is used for Regression. It has Kernel Method. It has Linear Classifier. It has Linear Regression. It has Robust Methods. It has Support Vector Machines. 
L2 Regularized Support Vector Machine (dual) with Linear Kernel (svmLinear3),L2 Regularized Support Vector Machine (dual) with Linear Kernel (svmLinear3)is a machine learning model.It is used for Classification. It is used for Regression. It has Kernel Method. It has Linear Classifier. It has Linear Regression. It has Robust Methods. It has Support Vector Machines. 
Linear Support Vector Machines with Class Weights (svmLinearWeights),Linear Support Vector Machines with Class Weights (svmLinearWeights)is a machine learning model.It is used for Classification. It has Cost Sensitive Learning. It has Kernel Method. It has Linear Classifier. It has Robust Methods. It has Support Vector Machines. It has Two Class Only. 
L2 Regularized Linear Support Vector Machines with Class Weights (svmLinearWeights2),L2 Regularized Linear Support Vector Machines with Class Weights (svmLinearWeights2)is a machine learning model.It is used for Classification. It has Cost Sensitive Learning. It has Kernel Method. It has Linear Classifier. It has Robust Methods. It has Support Vector Machines. It has Two Class Only. 
Support Vector Machines with Polynomial Kernel (svmPoly),Support Vector Machines with Polynomial Kernel (svmPoly)is a machine learning model.It is used for Classification. It is used for Regression. It has Kernel Method. It is a Polynomial Model. It has Robust Methods. It has Support Vector Machines. 
Support Vector Machines with Radial Basis Function Kernel (svmRadial),Support Vector Machines with Radial Basis Function Kernel (svmRadial)is a machine learning model.It is used for Classification. It is used for Regression. It has Kernel Method. It has Radial Basis Function. It has Robust Methods. It has Support Vector Machines. 
Support Vector Machines with Radial Basis Function Kernel (svmRadialCost),Support Vector Machines with Radial Basis Function Kernel (svmRadialCost)is a machine learning model.It is used for Classification. It is used for Regression. It has Kernel Method. It has Radial Basis Function. It has Support Vector Machines. 
Support Vector Machines with Radial Basis Function Kernel (svmRadialSigma),Support Vector Machines with Radial Basis Function Kernel (svmRadialSigma)is a machine learning model.It is used for Classification. It is used for Regression. It has Kernel Method. It has Radial Basis Function. It has Robust Methods. It has Support Vector Machines. 
Support Vector Machines with Class Weights (svmRadialWeights),Support Vector Machines with Class Weights (svmRadialWeights)is a machine learning model.It is used for Classification. It has Cost Sensitive Learning. It has Kernel Method. It has Radial Basis Function. It has Support Vector Machines. It has Two Class Only. 
Support Vector Machines with Spectrum String Kernel (svmSpectrumString),Support Vector Machines with Spectrum String Kernel (svmSpectrumString)is a machine learning model.It is used for Classification. It is used for Regression. It has Kernel Method. It has Robust Methods. It has String Kernel. It has Support Vector Machines. It has Text Mining. 
Tree Augmented Naive Bayes Classifier (tan),Tree Augmented Naive Bayes Classifier (tan)is a machine learning model.It is used for Classification. It is a Bayesian Model. It has Categorical Predictors Only. 
Tree Augmented Naive Bayes Classifier Structure Learner Wrapper (tanSearch),Tree Augmented Naive Bayes Classifier Structure Learner Wrapper (tanSearch)is a machine learning model.It is used for Classification. It is a Bayesian Model. It has Categorical Predictors Only. 
Bagged CART (treebag),Bagged CART (treebag)is a machine learning model.It is used for Classification. It is used for Regression. It Accepts Case Weights. It has Bagging. It is a Ensemble Model. It is a Tree-Based Model. 
Variational Bayesian Multinomial Probit Regression (vbmpRadial),Variational Bayesian Multinomial Probit Regression (vbmpRadial)is a machine learning model.It is used for Classification. It is a Bayesian Model. It has Gaussian Process. It has Radial Basis Function. 
Adjacent Categories Probability Model for Ordinal Data (vglmAdjCat),Adjacent Categories Probability Model for Ordinal Data (vglmAdjCat)is a machine learning model.It is used for Classification. It Accepts Case Weights. It has Linear Classifier. It has Logistic Regression. It has Ordinal Outcomes. 
Continuation Ratio Model for Ordinal Data (vglmContRatio),Continuation Ratio Model for Ordinal Data (vglmContRatio)is a machine learning model.It is used for Classification. It Accepts Case Weights. It has Linear Classifier. It has Logistic Regression. It has Ordinal Outcomes. 
Cumulative Probability Model for Ordinal Data (vglmCumulative),Cumulative Probability Model for Ordinal Data (vglmCumulative)is a machine learning model.It is used for Classification. It Accepts Case Weights. It has Linear Classifier. It has Logistic Regression. It has Ordinal Outcomes. 
Partial Least Squares (widekernelpls),Partial Least Squares (widekernelpls)is a machine learning model.It is used for Classification. It is used for Regression. It has Feature Extraction. It has Linear Classifier. It has Linear Regression. It has Partial Least Squares. 
Wang and Mendel Fuzzy Rules (WM),Wang and Mendel Fuzzy Rules (WM)is a machine learning model.It is used for Regression. It is a Rule-Based Model. 
Weighted Subspace Random Forest (wsrf),Weighted Subspace Random Forest (wsrf)is a machine learning model.It is used for Classification. It has Bagging. It is a Ensemble Model. It has Implicit Feature Selection. It has Random Forest. 
eXtreme Gradient Boosting (xgbDART),eXtreme Gradient Boosting (xgbDART)is a machine learning model.It is used for Classification. It is used for Regression. It Accepts Case Weights. It has Boosting. It is a Ensemble Model. It has Implicit Feature Selection. It is a Tree-Based Model. 
eXtreme Gradient Boosting (xgbLinear),eXtreme Gradient Boosting (xgbLinear)is a machine learning model.It is used for Classification. It is used for Regression. It has Boosting. It is a Ensemble Model. It has Implicit Feature Selection. It is a L1 Regularization Models. It is a L2 Regularization Models. It is a Linear Classifier Models. It is a Linear Regression Models. 
eXtreme Gradient Boosting (xgbTree),eXtreme Gradient Boosting (xgbTree)is a machine learning model.It is used for Classification. It is used for Regression. It Accepts Case Weights. It has Boosting. It is a Ensemble Model. It has Implicit Feature Selection. It is a Tree-Based Model. 
Self-Organizing Maps (xyf),Self-Organizing Maps (xyf)is a machine learning model.It is used for Classification. It is used for Regression. It has Self-Organising Maps. 
