Title,Description
"Multi-Layer Perceptron, multiple layers","Multi-Layer Perceptron, multiple layers is a model of machine learning used for classification and regression. Multi-Layer Perceptron, multiple layers is implemented in Caret under the library RSNNS. The method in Caret to use this model is mlpWeightDecayML. Multi-Layer Perceptron, multiple layers have the following tuning parameters: layer1, layer2, layer3, decay."
"Multi-Layer Perceptron, with multiple layers","Multi-Layer Perceptron, with multiple layers is a model of machine learning used for classification and regression. Multi-Layer Perceptron, with multiple layers is implemented in Caret under the library RSNNS. The method in Caret to use this model is mlpML. Multi-Layer Perceptron, with multiple layers have the following tuning parameters: layer1, layer2, layer3."
Multi-Step Adaptive MCP-Net,"Multi-Step Adaptive MCP-Net is a model of machine learning used for classification and regression. Multi-Step Adaptive MCP-Net is implemented in Caret under the library msaenet. The method in Caret to use this model is msaenet. Multi-Step Adaptive MCP-Net have the following tuning parameters: alphas, nsteps, scale."
Multilayer Perceptron Network by Stochastic Gradient Descent,"Multilayer Perceptron Network by Stochastic Gradient Descent is a model of machine learning used for classification and regression. Multilayer Perceptron Network by Stochastic Gradient Descent is implemented in Caret under the library FCNN4R, plyr. The method in Caret to use this model is mlpSGD. Multilayer Perceptron Network by Stochastic Gradient Descent have the following tuning parameters: size, l2reg, lambda, learn_rate, momentum, gamma, minibatchsz, repeats."
Multilayer Perceptron Network with Dropout,"Multilayer Perceptron Network with Dropout is a model of machine learning used for classification and regression. Multilayer Perceptron Network with Dropout is implemented in Caret under the library keras. The method in Caret to use this model is mlpKerasDropout. Multilayer Perceptron Network with Dropout have the following tuning parameters: size, dropout, batch_size, lr, rho, decay, activation."
Multilayer Perceptron Network with Dropout,"Multilayer Perceptron Network with Dropout is a model of machine learning used for classification. Multilayer Perceptron Network with Dropout is implemented in Caret under the library keras. The method in Caret to use this model is mlpKerasDropoutCost. Multilayer Perceptron Network with Dropout have the following tuning parameters: size, dropout, batch_size, lr, rho, decay, cost, activation."
Multilayer Perceptron Network with Weight Decay,"Multilayer Perceptron Network with Weight Decay is a model of machine learning used for classification and regression. Multilayer Perceptron Network with Weight Decay is implemented in Caret under the library keras. The method in Caret to use this model is mlpKerasDecay. Multilayer Perceptron Network with Weight Decay have the following tuning parameters: size, lambda, batch_size, lr, rho, decay, activation."
Multilayer Perceptron Network with Weight Decay,"Multilayer Perceptron Network with Weight Decay is a model of machine learning used for classification. Multilayer Perceptron Network with Weight Decay is implemented in Caret under the library keras. The method in Caret to use this model is mlpKerasDecayCost. Multilayer Perceptron Network with Weight Decay have the following tuning parameters: size, lambda, batch_size, lr, rho, decay, cost, activation."
Multivariate Adaptive Regression Spline,"Multivariate Adaptive Regression Spline is a model of machine learning used for classification and regression. Multivariate Adaptive Regression Spline is implemented in Caret under the library earth. The method in Caret to use this model is earth. Multivariate Adaptive Regression Spline have the following tuning parameters: nprune, degree."
Multivariate Adaptive Regression Splines,Multivariate Adaptive Regression Splines is a model of machine learning used for classification and regression. Multivariate Adaptive Regression Splines is implemented in Caret under the library earth. The method in Caret to use this model is gcvEarth. Multivariate Adaptive Regression Splines have the following tuning parameters: degree.
Naive Bayes,"Naive Bayes is a model of machine learning used for classification. Naive Bayes is implemented in Caret under the library naivebayes. The method in Caret to use this model is naive_bayes. Naive Bayes have the following tuning parameters: laplace, usekernel, adjust."
Naive Bayes,"Naive Bayes is a model of machine learning used for classification. Naive Bayes is implemented in Caret under the library klaR. The method in Caret to use this model is nb. Naive Bayes have the following tuning parameters: fL, usekernel, adjust."
Naive Bayes Classifier,Naive Bayes Classifier is a model of machine learning used for classification. Naive Bayes Classifier is implemented in Caret under the library bnclassify. The method in Caret to use this model is nbDiscrete. Naive Bayes Classifier have the following tuning parameters: smooth.
Naive Bayes Classifier with Attribute Weighting,Naive Bayes Classifier with Attribute Weighting is a model of machine learning used for classification. Naive Bayes Classifier with Attribute Weighting is implemented in Caret under the library bnclassify. The method in Caret to use this model is awnb. Naive Bayes Classifier with Attribute Weighting have the following tuning parameters: smooth.
Nearest Shrunken Centroids,Nearest Shrunken Centroids is a model of machine learning used for classification. Nearest Shrunken Centroids is implemented in Caret under the library pamr. The method in Caret to use this model is pam. Nearest Shrunken Centroids have the following tuning parameters: threshold.
Negative Binomial Generalized Linear Model,Negative Binomial Generalized Linear Model is a model of machine learning used for regression. Negative Binomial Generalized Linear Model is implemented in Caret under the library MASS. The method in Caret to use this model is glm.nb. Negative Binomial Generalized Linear Model have the following tuning parameters: link.
Neural Network,"Neural Network is a model of machine learning used for classification and regression. Neural Network is implemented in Caret under the library mxnet. The method in Caret to use this model is mxnet. Neural Network have the following tuning parameters: layer1, layer2, layer3, learning.rate, momentum, dropout, activation."
Neural Network,"Neural Network is a model of machine learning used for classification and regression. Neural Network is implemented in Caret under the library mxnet. The method in Caret to use this model is mxnetAdam. Neural Network have the following tuning parameters: layer1, layer2, layer3, dropout, beta1, beta2, learningrate, activation."
Neural Network,"Neural Network is a model of machine learning used for regression. Neural Network is implemented in Caret under the library neuralnet. The method in Caret to use this model is neuralnet. Neural Network have the following tuning parameters: layer1, layer2, layer3."
Neural Network,"Neural Network is a model of machine learning used for classification and regression. Neural Network is implemented in Caret under the library nnet. The method in Caret to use this model is nnet. Neural Network have the following tuning parameters: size, decay."
Neural Networks with Feature Extraction,"Neural Networks with Feature Extraction is a model of machine learning used for classification and regression. Neural Networks with Feature Extraction is implemented in Caret under the library nnet. The method in Caret to use this model is pcaNNet. Neural Networks with Feature Extraction have the following tuning parameters: size, decay."
Non-Convex Penalized Quantile Regression,"Non-Convex Penalized Quantile Regression is a model of machine learning used for regression. Non-Convex Penalized Quantile Regression is implemented in Caret under the library rqPen. The method in Caret to use this model is rqnc. Non-Convex Penalized Quantile Regression have the following tuning parameters: lambda, penalty."
Non-Informative Model,Non-Informative Model is a model of machine learning used for classification and regression. Non-Informative Model is implemented in Caret under the library . The method in Caret to use this model is null. Non-Informative Model have the following tuning parameters: None.
Non-Negative Least Squares,Non-Negative Least Squares is a model of machine learning used for regression. Non-Negative Least Squares is implemented in Caret under the library nnls. The method in Caret to use this model is nnls. Non-Negative Least Squares have the following tuning parameters: None.
Oblique Random Forest,Oblique Random Forest is a model of machine learning used for classification. Oblique Random Forest is implemented in Caret under the library obliqueRF. The method in Caret to use this model is ORFlog. Oblique Random Forest have the following tuning parameters: mtry.
Oblique Random Forest,Oblique Random Forest is a model of machine learning used for classification. Oblique Random Forest is implemented in Caret under the library obliqueRF. The method in Caret to use this model is ORFpls. Oblique Random Forest have the following tuning parameters: mtry.
Oblique Random Forest,Oblique Random Forest is a model of machine learning used for classification. Oblique Random Forest is implemented in Caret under the library obliqueRF. The method in Caret to use this model is ORFridge. Oblique Random Forest have the following tuning parameters: mtry.
Oblique Random Forest,Oblique Random Forest is a model of machine learning used for classification. Oblique Random Forest is implemented in Caret under the library obliqueRF. The method in Caret to use this model is ORFsvm. Oblique Random Forest have the following tuning parameters: mtry.
Optimal Weighted Nearest Neighbor Classifier,Optimal Weighted Nearest Neighbor Classifier is a model of machine learning used for classification. Optimal Weighted Nearest Neighbor Classifier is implemented in Caret under the library snn. The method in Caret to use this model is ownn. Optimal Weighted Nearest Neighbor Classifier have the following tuning parameters: K.
Ordered Logistic or Probit Regression,Ordered Logistic or Probit Regression is a model of machine learning used for classification. Ordered Logistic or Probit Regression is implemented in Caret under the library MASS. The method in Caret to use this model is polr. Ordered Logistic or Probit Regression have the following tuning parameters: method.
Parallel Random Forest,"Parallel Random Forest is a model of machine learning used for classification and regression. Parallel Random Forest is implemented in Caret under the library e1071, randomForest, foreach, import. The method in Caret to use this model is parRF. Parallel Random Forest have the following tuning parameters: mtry."
partDSA,"partDSA is a model of machine learning used for classification and regression. partDSA is implemented in Caret under the library partDSA. The method in Caret to use this model is partDSA. partDSA have the following tuning parameters: cut.off.growth, MPD."
Partial Least Squares,Partial Least Squares is a model of machine learning used for classification and regression. Partial Least Squares is implemented in Caret under the library pls. The method in Caret to use this model is kernelpls. Partial Least Squares have the following tuning parameters: ncomp.
Partial Least Squares,Partial Least Squares is a model of machine learning used for classification and regression. Partial Least Squares is implemented in Caret under the library pls. The method in Caret to use this model is pls. Partial Least Squares have the following tuning parameters: ncomp.
Partial Least Squares,Partial Least Squares is a model of machine learning used for classification and regression. Partial Least Squares is implemented in Caret under the library pls. The method in Caret to use this model is simpls. Partial Least Squares have the following tuning parameters: ncomp.
Partial Least Squares,Partial Least Squares is a model of machine learning used for classification and regression. Partial Least Squares is implemented in Caret under the library pls. The method in Caret to use this model is widekernelpls. Partial Least Squares have the following tuning parameters: ncomp.
Partial Least Squares Generalized Linear Models,"Partial Least Squares Generalized Linear Models is a model of machine learning used for classification and regression. Partial Least Squares Generalized Linear Models is implemented in Caret under the library plsRglm. The method in Caret to use this model is plsRglm. Partial Least Squares Generalized Linear Models have the following tuning parameters: nt, alpha.pvals.expli."
Patient Rule Induction Method,"Patient Rule Induction Method is a model of machine learning used for classification. Patient Rule Induction Method is implemented in Caret under the library supervisedPRIM. The method in Caret to use this model is PRIM. Patient Rule Induction Method have the following tuning parameters: peel.alpha, paste.alpha, mass.min."
Penalized Discriminant Analysis,Penalized Discriminant Analysis is a model of machine learning used for classification. Penalized Discriminant Analysis is implemented in Caret under the library mda. The method in Caret to use this model is pda. Penalized Discriminant Analysis have the following tuning parameters: lambda.
Penalized Discriminant Analysis,Penalized Discriminant Analysis is a model of machine learning used for classification. Penalized Discriminant Analysis is implemented in Caret under the library mda. The method in Caret to use this model is pda2. Penalized Discriminant Analysis have the following tuning parameters: df.
Penalized Linear Discriminant Analysis,"Penalized Linear Discriminant Analysis is a model of machine learning used for classification. Penalized Linear Discriminant Analysis is implemented in Caret under the library penalizedLDA, plyr. The method in Caret to use this model is PenalizedLDA. Penalized Linear Discriminant Analysis have the following tuning parameters: lambda, K."
Penalized Linear Regression,"Penalized Linear Regression is a model of machine learning used for regression. Penalized Linear Regression is implemented in Caret under the library penalized. The method in Caret to use this model is penalized. Penalized Linear Regression have the following tuning parameters: lambda1, lambda2."
Penalized Logistic Regression,"Penalized Logistic Regression is a model of machine learning used for classification. Penalized Logistic Regression is implemented in Caret under the library stepPlr. The method in Caret to use this model is plr. Penalized Logistic Regression have the following tuning parameters: lambda, cp."
Penalized Multinomial Regression,Penalized Multinomial Regression is a model of machine learning used for classification. Penalized Multinomial Regression is implemented in Caret under the library nnet. The method in Caret to use this model is multinom. Penalized Multinomial Regression have the following tuning parameters: decay.
Penalized Ordinal Regression,"Penalized Ordinal Regression is a model of machine learning used for classification. Penalized Ordinal Regression is implemented in Caret under the library ordinalNet, plyr. The method in Caret to use this model is ordinalNet. Penalized Ordinal Regression have the following tuning parameters: alpha, criteria, link."
Polynomial Kernel Regularized Least Squares,"Polynomial Kernel Regularized Least Squares is a model of machine learning used for regression. Polynomial Kernel Regularized Least Squares is implemented in Caret under the library KRLS. The method in Caret to use this model is krlsPoly. Polynomial Kernel Regularized Least Squares have the following tuning parameters: lambda, degree."
Principal Component Analysis,Principal Component Analysis is a model of machine learning used for regression. Principal Component Analysis is implemented in Caret under the library pls. The method in Caret to use this model is pcr. Principal Component Analysis have the following tuning parameters: ncomp.
Projection Pursuit Regression,Projection Pursuit Regression is a model of machine learning used for regression. Projection Pursuit Regression is implemented in Caret under the library . The method in Caret to use this model is ppr. Projection Pursuit Regression have the following tuning parameters: nterms.
Quadratic Discriminant Analysis,Quadratic Discriminant Analysis is a model of machine learning used for classification. Quadratic Discriminant Analysis is implemented in Caret under the library MASS. The method in Caret to use this model is qda. Quadratic Discriminant Analysis have the following tuning parameters: None.
Quadratic Discriminant Analysis with Stepwise Feature Selection,"Quadratic Discriminant Analysis with Stepwise Feature Selection is a model of machine learning used for classification. Quadratic Discriminant Analysis with Stepwise Feature Selection is implemented in Caret under the library klaR, MASS. The method in Caret to use this model is stepQDA. Quadratic Discriminant Analysis with Stepwise Feature Selection have the following tuning parameters: maxvar, direction."
Quantile Random Forest,Quantile Random Forest is a model of machine learning used for regression. Quantile Random Forest is implemented in Caret under the library quantregForest. The method in Caret to use this model is qrf. Quantile Random Forest have the following tuning parameters: mtry.
Quantile Regression Neural Network,"Quantile Regression Neural Network is a model of machine learning used for regression. Quantile Regression Neural Network is implemented in Caret under the library qrnn. The method in Caret to use this model is qrnn. Quantile Regression Neural Network have the following tuning parameters: n.hidden, penalty, bag."
Quantile Regression with LASSO penalty,Quantile Regression with LASSO penalty is a model of machine learning used for regression. Quantile Regression with LASSO penalty is implemented in Caret under the library rqPen. The method in Caret to use this model is rqlasso. Quantile Regression with LASSO penalty have the following tuning parameters: lambda.
Radial Basis Function Kernel Regularized Least Squares,"Radial Basis Function Kernel Regularized Least Squares is a model of machine learning used for regression. Radial Basis Function Kernel Regularized Least Squares is implemented in Caret under the library KRLS, kernlab. The method in Caret to use this model is krlsRadial. Radial Basis Function Kernel Regularized Least Squares have the following tuning parameters: lambda, sigma."
Radial Basis Function Network,Radial Basis Function Network is a model of machine learning used for classification and regression. Radial Basis Function Network is implemented in Caret under the library RSNNS. The method in Caret to use this model is rbf. Radial Basis Function Network have the following tuning parameters: size.
Radial Basis Function Network,Radial Basis Function Network is a model of machine learning used for classification and regression. Radial Basis Function Network is implemented in Caret under the library RSNNS. The method in Caret to use this model is rbfDDA. Radial Basis Function Network have the following tuning parameters: negativeThreshold.
Random Ferns,Random Ferns is a model of machine learning used for classification. Random Ferns is implemented in Caret under the library rFerns. The method in Caret to use this model is rFerns. Random Ferns have the following tuning parameters: depth.
Random Forest,"Random Forest is a model of machine learning used for classification. Random Forest is implemented in Caret under the library e1071, ranger, dplyr, ordinalForest. The method in Caret to use this model is ordinalRF. Random Forest have the following tuning parameters: nsets, ntreeperdiv, ntreefinal."
Random Forest,"Random Forest is a model of machine learning used for classification and regression. Random Forest is implemented in Caret under the library e1071, ranger, dplyr. The method in Caret to use this model is ranger. Random Forest have the following tuning parameters: mtry, splitrule, min.node.size."
Random Forest,"Random Forest is a model of machine learning used for classification and regression. Random Forest is implemented in Caret under the library Rborist. The method in Caret to use this model is Rborist. Random Forest have the following tuning parameters: predFixed, minNode."
Random Forest,Random Forest is a model of machine learning used for classification and regression. Random Forest is implemented in Caret under the library randomForest. The method in Caret to use this model is rf. Random Forest have the following tuning parameters: mtry.
Random Forest by Randomization,"Random Forest by Randomization is a model of machine learning used for classification and regression. Random Forest by Randomization is implemented in Caret under the library extraTrees. The method in Caret to use this model is extraTrees. Random Forest by Randomization have the following tuning parameters: mtry, numRandomCuts."
Random Forest Rule-Based Model,"Random Forest Rule-Based Model is a model of machine learning used for classification and regression. Random Forest Rule-Based Model is implemented in Caret under the library randomForest, inTrees, plyr. The method in Caret to use this model is rfRules. Random Forest Rule-Based Model have the following tuning parameters: mtry, maxdepth."
Regularized Discriminant Analysis,"Regularized Discriminant Analysis is a model of machine learning used for classification. Regularized Discriminant Analysis is implemented in Caret under the library klaR. The method in Caret to use this model is rda. Regularized Discriminant Analysis have the following tuning parameters: gamma, lambda."
Regularized Linear Discriminant Analysis,Regularized Linear Discriminant Analysis is a model of machine learning used for classification. Regularized Linear Discriminant Analysis is implemented in Caret under the library sparsediscrim. The method in Caret to use this model is rlda. Regularized Linear Discriminant Analysis have the following tuning parameters: estimator.
Regularized Logistic Regression,"Regularized Logistic Regression is a model of machine learning used for classification. Regularized Logistic Regression is implemented in Caret under the library LiblineaR. The method in Caret to use this model is regLogistic. Regularized Logistic Regression have the following tuning parameters: cost, loss, epsilon."
Regularized Random Forest,"Regularized Random Forest is a model of machine learning used for classification and regression. Regularized Random Forest is implemented in Caret under the library randomForest, RRF. The method in Caret to use this model is RRF. Regularized Random Forest have the following tuning parameters: mtry, coefReg, coefImp."
Regularized Random Forest,"Regularized Random Forest is a model of machine learning used for classification and regression. Regularized Random Forest is implemented in Caret under the library RRF. The method in Caret to use this model is RRFglobal. Regularized Random Forest have the following tuning parameters: mtry, coefReg."
Relaxed Lasso,"Relaxed Lasso is a model of machine learning used for regression. Relaxed Lasso is implemented in Caret under the library relaxo, plyr. The method in Caret to use this model is relaxo. Relaxed Lasso have the following tuning parameters: lambda, phi."
Relevance Vector Machines with Linear Kernel,Relevance Vector Machines with Linear Kernel is a model of machine learning used for regression. Relevance Vector Machines with Linear Kernel is implemented in Caret under the library kernlab. The method in Caret to use this model is rvmLinear. Relevance Vector Machines with Linear Kernel have the following tuning parameters: None.
Relevance Vector Machines with Polynomial Kernel,"Relevance Vector Machines with Polynomial Kernel is a model of machine learning used for regression. Relevance Vector Machines with Polynomial Kernel is implemented in Caret under the library kernlab. The method in Caret to use this model is rvmPoly. Relevance Vector Machines with Polynomial Kernel have the following tuning parameters: scale, degree."
Relevance Vector Machines with Radial Basis Function Kernel,Relevance Vector Machines with Radial Basis Function Kernel is a model of machine learning used for regression. Relevance Vector Machines with Radial Basis Function Kernel is implemented in Caret under the library kernlab. The method in Caret to use this model is rvmRadial. Relevance Vector Machines with Radial Basis Function Kernel have the following tuning parameters: sigma.
Ridge Regression,Ridge Regression is a model of machine learning used for regression. Ridge Regression is implemented in Caret under the library elasticnet. The method in Caret to use this model is ridge. Ridge Regression have the following tuning parameters: lambda.
Ridge Regression with Variable Selection,"Ridge Regression with Variable Selection is a model of machine learning used for regression. Ridge Regression with Variable Selection is implemented in Caret under the library foba. The method in Caret to use this model is foba. Ridge Regression with Variable Selection have the following tuning parameters: k, lambda."
Robust Linear Discriminant Analysis,Robust Linear Discriminant Analysis is a model of machine learning used for classification. Robust Linear Discriminant Analysis is implemented in Caret under the library rrcov. The method in Caret to use this model is Linda. Robust Linear Discriminant Analysis have the following tuning parameters: None.
Robust Linear Model,"Robust Linear Model is a model of machine learning used for regression. Robust Linear Model is implemented in Caret under the library MASS. The method in Caret to use this model is rlm. Robust Linear Model have the following tuning parameters: intercept, psi."
Robust Mixture Discriminant Analysis,"Robust Mixture Discriminant Analysis is a model of machine learning used for classification. Robust Mixture Discriminant Analysis is implemented in Caret under the library robustDA. The method in Caret to use this model is rmda. Robust Mixture Discriminant Analysis have the following tuning parameters: K, model."
Robust Quadratic Discriminant Analysis,Robust Quadratic Discriminant Analysis is a model of machine learning used for classification. Robust Quadratic Discriminant Analysis is implemented in Caret under the library rrcov. The method in Caret to use this model is QdaCov. Robust Quadratic Discriminant Analysis have the following tuning parameters: None.
Robust Regularized Linear Discriminant Analysis,"Robust Regularized Linear Discriminant Analysis is a model of machine learning used for classification. Robust Regularized Linear Discriminant Analysis is implemented in Caret under the library rrlda. The method in Caret to use this model is rrlda. Robust Regularized Linear Discriminant Analysis have the following tuning parameters: lambda, hp, penalty."
Robust SIMCA,Robust SIMCA is a model of machine learning used for classification. Robust SIMCA is implemented in Caret under the library rrcovHD. The method in Caret to use this model is RSimca. Robust SIMCA have the following tuning parameters: None.
ROC-Based Classifier,ROC-Based Classifier is a model of machine learning used for classification. ROC-Based Classifier is implemented in Caret under the library rocc. The method in Caret to use this model is rocc. ROC-Based Classifier have the following tuning parameters: xgenes.
Rotation Forest,"Rotation Forest is a model of machine learning used for classification. Rotation Forest is implemented in Caret under the library rotationForest. The method in Caret to use this model is rotationForest. Rotation Forest have the following tuning parameters: K, L."
Rotation Forest,"Rotation Forest is a model of machine learning used for classification. Rotation Forest is implemented in Caret under the library rpart, plyr, rotationForest. The method in Caret to use this model is rotationForestCp. Rotation Forest have the following tuning parameters: K, L, cp."
Rule-Based Classifier,"Rule-Based Classifier is a model of machine learning used for classification. Rule-Based Classifier is implemented in Caret under the library RWeka. The method in Caret to use this model is JRip. Rule-Based Classifier have the following tuning parameters: NumOpt, NumFolds, MinWeights."
Rule-Based Classifier,"Rule-Based Classifier is a model of machine learning used for classification. Rule-Based Classifier is implemented in Caret under the library RWeka. The method in Caret to use this model is PART. Rule-Based Classifier have the following tuning parameters: threshold, pruned."
Self-Organizing Maps,"Self-Organizing Maps is a model of machine learning used for classification and regression. Self-Organizing Maps is implemented in Caret under the library kohonen. The method in Caret to use this model is xyf. Self-Organizing Maps have the following tuning parameters: xdim, ydim, user.weights, topo."
Semi-Naive Structure Learner Wrapper,"Semi-Naive Structure Learner Wrapper is a model of machine learning used for classification. Semi-Naive Structure Learner Wrapper is implemented in Caret under the library bnclassify. The method in Caret to use this model is nbSearch. Semi-Naive Structure Learner Wrapper have the following tuning parameters: k, epsilon, smooth, final_smooth, direction."
Shrinkage Discriminant Analysis,"Shrinkage Discriminant Analysis is a model of machine learning used for classification. Shrinkage Discriminant Analysis is implemented in Caret under the library sda. The method in Caret to use this model is sda. Shrinkage Discriminant Analysis have the following tuning parameters: diagonal, lambda."
SIMCA,"SIMCA is a model of machine learning used for classification. SIMCA is implemented in Caret under the library rrcov, rrcovHD. The method in Caret to use this model is CSimca. SIMCA have the following tuning parameters: None."
Simplified TSK Fuzzy Rules,"Simplified TSK Fuzzy Rules is a model of machine learning used for regression. Simplified TSK Fuzzy Rules is implemented in Caret under the library frbs. The method in Caret to use this model is FS.HGD. Simplified TSK Fuzzy Rules have the following tuning parameters: num.labels, max.iter."
Single C5.0 Ruleset,Single C5.0 Ruleset is a model of machine learning used for classification. Single C5.0 Ruleset is implemented in Caret under the library C50. The method in Caret to use this model is C5.0Rules. Single C5.0 Ruleset have the following tuning parameters: None.
Single C5.0 Tree,Single C5.0 Tree is a model of machine learning used for classification. Single C5.0 Tree is implemented in Caret under the library C50. The method in Caret to use this model is C5.0Tree. Single C5.0 Tree have the following tuning parameters: None.
Single Rule Classification,Single Rule Classification is a model of machine learning used for classification. Single Rule Classification is implemented in Caret under the library RWeka. The method in Caret to use this model is OneR. Single Rule Classification have the following tuning parameters: None.
Sparse Distance Weighted Discrimination,"Sparse Distance Weighted Discrimination is a model of machine learning used for classification. Sparse Distance Weighted Discrimination is implemented in Caret under the library sdwd. The method in Caret to use this model is sdwd. Sparse Distance Weighted Discrimination have the following tuning parameters: lambda, lambda2."
Sparse Linear Discriminant Analysis,"Sparse Linear Discriminant Analysis is a model of machine learning used for classification. Sparse Linear Discriminant Analysis is implemented in Caret under the library sparseLDA. The method in Caret to use this model is sparseLDA. Sparse Linear Discriminant Analysis have the following tuning parameters: NumVars, lambda."
Sparse Mixture Discriminant Analysis,"Sparse Mixture Discriminant Analysis is a model of machine learning used for classification. Sparse Mixture Discriminant Analysis is implemented in Caret under the library sparseLDA. The method in Caret to use this model is smda. Sparse Mixture Discriminant Analysis have the following tuning parameters: NumVars, lambda, R."
Sparse Partial Least Squares,"Sparse Partial Least Squares is a model of machine learning used for classification and regression. Sparse Partial Least Squares is implemented in Caret under the library spls. The method in Caret to use this model is spls. Sparse Partial Least Squares have the following tuning parameters: K, eta, kappa."
Spike and Slab Regression,"Spike and Slab Regression is a model of machine learning used for regression. Spike and Slab Regression is implemented in Caret under the library spikeslab, plyr. The method in Caret to use this model is spikeslab. Spike and Slab Regression have the following tuning parameters: vars."
Stabilized Linear Discriminant Analysis,Stabilized Linear Discriminant Analysis is a model of machine learning used for classification. Stabilized Linear Discriminant Analysis is implemented in Caret under the library ipred. The method in Caret to use this model is slda. Stabilized Linear Discriminant Analysis have the following tuning parameters: None.
Stabilized Nearest Neighbor Classifier,Stabilized Nearest Neighbor Classifier is a model of machine learning used for classification. Stabilized Nearest Neighbor Classifier is implemented in Caret under the library snn. The method in Caret to use this model is snn. Stabilized Nearest Neighbor Classifier have the following tuning parameters: lambda.
Stacked AutoEncoder Deep Neural Network,"Stacked AutoEncoder Deep Neural Network is a model of machine learning used for classification and regression. Stacked AutoEncoder Deep Neural Network is implemented in Caret under the library deepnet. The method in Caret to use this model is dnn. Stacked AutoEncoder Deep Neural Network have the following tuning parameters: layer1, layer2, layer3, hidden_dropout, visible_dropout."
Stochastic Gradient Boosting,"Stochastic Gradient Boosting is a model of machine learning used for classification and regression. Stochastic Gradient Boosting is implemented in Caret under the library gbm, plyr. The method in Caret to use this model is gbm. Stochastic Gradient Boosting have the following tuning parameters: n.trees, interaction.depth, shrinkage, n.minobsinnode."
Subtractive Clustering and Fuzzy c-Means Rules,"Subtractive Clustering and Fuzzy c-Means Rules is a model of machine learning used for regression. Subtractive Clustering and Fuzzy c-Means Rules is implemented in Caret under the library frbs. The method in Caret to use this model is SBC. Subtractive Clustering and Fuzzy c-Means Rules have the following tuning parameters: r.a, eps.high, eps.low."
Supervised Principal Component Analysis,"Supervised Principal Component Analysis is a model of machine learning used for regression. Supervised Principal Component Analysis is implemented in Caret under the library superpc. The method in Caret to use this model is superpc. Supervised Principal Component Analysis have the following tuning parameters: threshold, n.components."
Support Vector Machines with Boundrange String Kernel,"Support Vector Machines with Boundrange String Kernel is a model of machine learning used for classification and regression. Support Vector Machines with Boundrange String Kernel is implemented in Caret under the library kernlab. The method in Caret to use this model is svmBoundrangeString. Support Vector Machines with Boundrange String Kernel have the following tuning parameters: length, C."
Support Vector Machines with Class Weights,"Support Vector Machines with Class Weights is a model of machine learning used for classification. Support Vector Machines with Class Weights is implemented in Caret under the library kernlab. The method in Caret to use this model is svmRadialWeights. Support Vector Machines with Class Weights have the following tuning parameters: sigma, C, Weight."
Support Vector Machines with Exponential String Kernel,"Support Vector Machines with Exponential String Kernel is a model of machine learning used for classification and regression. Support Vector Machines with Exponential String Kernel is implemented in Caret under the library kernlab. The method in Caret to use this model is svmExpoString. Support Vector Machines with Exponential String Kernel have the following tuning parameters: lambda, C."
Support Vector Machines with Linear Kernel,Support Vector Machines with Linear Kernel is a model of machine learning used for classification and regression. Support Vector Machines with Linear Kernel is implemented in Caret under the library kernlab. The method in Caret to use this model is svmLinear. Support Vector Machines with Linear Kernel have the following tuning parameters: C.
Support Vector Machines with Linear Kernel,Support Vector Machines with Linear Kernel is a model of machine learning used for classification and regression. Support Vector Machines with Linear Kernel is implemented in Caret under the library e1071. The method in Caret to use this model is svmLinear2. Support Vector Machines with Linear Kernel have the following tuning parameters: cost.
Support Vector Machines with Polynomial Kernel,"Support Vector Machines with Polynomial Kernel is a model of machine learning used for classification and regression. Support Vector Machines with Polynomial Kernel is implemented in Caret under the library kernlab. The method in Caret to use this model is svmPoly. Support Vector Machines with Polynomial Kernel have the following tuning parameters: degree, scale, C."
Support Vector Machines with Radial Basis Function Kernel,"Support Vector Machines with Radial Basis Function Kernel is a model of machine learning used for classification and regression. Support Vector Machines with Radial Basis Function Kernel is implemented in Caret under the library kernlab. The method in Caret to use this model is svmRadial. Support Vector Machines with Radial Basis Function Kernel have the following tuning parameters: sigma, C."
Support Vector Machines with Radial Basis Function Kernel,Support Vector Machines with Radial Basis Function Kernel is a model of machine learning used for classification and regression. Support Vector Machines with Radial Basis Function Kernel is implemented in Caret under the library kernlab. The method in Caret to use this model is svmRadialCost. Support Vector Machines with Radial Basis Function Kernel have the following tuning parameters: C.
Support Vector Machines with Radial Basis Function Kernel,"Support Vector Machines with Radial Basis Function Kernel is a model of machine learning used for classification and regression. Support Vector Machines with Radial Basis Function Kernel is implemented in Caret under the library kernlab. The method in Caret to use this model is svmRadialSigma. Support Vector Machines with Radial Basis Function Kernel have the following tuning parameters: sigma, C."
Support Vector Machines with Spectrum String Kernel,"Support Vector Machines with Spectrum String Kernel is a model of machine learning used for classification and regression. Support Vector Machines with Spectrum String Kernel is implemented in Caret under the library kernlab. The method in Caret to use this model is svmSpectrumString. Support Vector Machines with Spectrum String Kernel have the following tuning parameters: length, C."
The Bayesian lasso,The Bayesian lasso is a model of machine learning used for regression. The Bayesian lasso is implemented in Caret under the library monomvn. The method in Caret to use this model is blasso. The Bayesian lasso have the following tuning parameters: sparsity.
The lasso,The lasso is a model of machine learning used for regression. The lasso is implemented in Caret under the library elasticnet. The method in Caret to use this model is lasso. The lasso have the following tuning parameters: fraction.
